taxon,description
Bolboschoenus maritimus,"Salt-marsh bulrush, alkali bulrush, bayonet-grass, scirpe maritime  



Culms 50–150 cm × (1–)3–8 mm.  Leaves: sheaths reaching ± to mid culm, fronts usually membranous at mouth, apex concave to convex, veins diverging proximal to summit leaving triangular, veinless area (often disintegrating); widest blade 2–12 mm wide.  Inflorescences with all spikelets sessile, simply branched with not more than 1/2 of spikelets solitary or in clusters of 2–10 on 1–4 rays, rays not exceeding 8 cm; involucral bracts that surpass inflorescences 1–4, widest bract 1–6 mm wide.   Spikelets (1–)2–40, ovoid to lanceoloid, 7–40 × (4–)7–10 mm, base usually cuneate to rounded; scales often loosely imbricate, bright orange-brown to stramineous, often obscurely lineolate-spotted, 5–8 × 3–4 mm, membranous, translucent, apex acute, 2-fid 0.5–1 mm deep, awn slender, 1–3 × 0.25 mm at base.  Flowers: perianth bristles not persistent on shed achenes or sometimes 1–few weakly persistent, medium brown, to 1/2 achene length; anthers yellow, very rarely orange, 2–4 mm; styles 2–3-fid.  Achenes medium to dark brown, rarely yellowish or whitish, obovoid, biconvex, or concave-sided, rarely obtusely compressed trigonous, 2.3–4.1 × 1.9–2.8 mm, apex rounded to nearly truncate, beak 0.1–0.4 mm, surface glossy, exocarp (epidermal) cells usually clearly visible at 10–20X; in achene cross section exocarp 2 times as thick as mesocarp, its cells greatly enlarged, at least 3 times deeper than wide; achene specific gravity much less than water."
Bolboschoenus maritimus,"

Rhizomes creeping, terminated by a small ovoid tuber. Culms 25-50[-150] cm tall, 3-angled, smooth. Leaf sheath fronts with veinless triangular to rhombic area at summit; leaf blade linear, 2-6[-12] mm wide, flat, ± stiff, apical ones longer than or as long as culm. Involucral bracts 2 or 3, leaflike, overtopping inflorescence. Inflorescences of 1-10 spikelets, capitate [rarely with short rays]. Spikelets ovoid to narrowly ovoid, 10-16 × 3.5-7 mm, many flowered. Glumes bright orangish brown to stramineous, oblong-ovate, 5-8 mm, membranous, abaxially ± pubescent, 1-veined costa excurrent into a 1-3 mm awn, apex 2-cleft. Perianth bristles 6, ca. 1/2 as long as nutlet, retrorsely scabrous, usually not persistent on nutlet. Stamens 3; anthers linear-oblong, 2-4 mm; connective apex conic, ca. 0.5 mm. Style slender; stigmas 2, ± as long as style. Nutlet dark brown, broadly obovoid, ca. 2.5 mm, biconvex [compressed 3-sided], shiny, apex rounded to truncate. Fl. and fr. Jun-Sep. 2n = 64, 104, 112."
Myriophyllum verticillatum,"Rhizome elongated, creeping in the muddy substratum. Lfy shoots 50-300 cm, branched. Lvs 2.5-4.5 cm, (4-)5(-6) in a whorl,  commonly much exceeding the internodes, simply pinnate with 25-35 rather distant segments. perennation and vegetative reproduction by clavate turions, 0.5-5 cm, with closely appressed lvs.  Spike 7-25 cm, emergent. Fls usually in whorls of 5 in the axils of shortly pinnate or pectinate bracts of very variable length, from little shorter than the lvs to little longer than the fls, but never entire and never shorter than the fls even at the tip of the spike. A few hermaphodite fls usually present between the male and female fls. Petals of female fls 0; of male fls 4, c 2.4 mm, greenish-yellow, rarely reddish, caducuous. Stamens 8.  Fr 2 mm, subglobular, 4 lobed, at length separating into 4 nutlets. "
Myriophyllum verticillatum,"Whorled water-milfoil, myriophylle verticillé  



Herbs monoecious, aquatic, sometimes forming dense stands. Stems branched or unbranched, to 3 m. Turions present, becoming brown to red-brown at maturity, clavate to obdeltoid, with abrupt transition from foliage leaves to reduced turion leaves, (6–)11–37(–52) × (3–)4–6(–9) mm, apex ± rounded, lateral turions with several whorls of minute, brown prophylls, entire proximallyand toothed to lobed distally, ovate to elliptic or lance­olate in outline; leaves pectinate, strongly appressed to axis throughout, narrowly flabelliform in outline, 4.5–7.5 × 1.2–1.8(–4) mm; segments 8–12(–18), flattened, linear-lanceolate, longest segment 1.5–6 mm, basal segment usually greater than or equal to 2/3 central axis of leaf, apex ± acute, trichomes usually absent. Leaves in whorls of (3 or)4, heteromorphic; petiole to 6 mm; submersed leaves pectinate, ovate to elliptic in outline, (7–)12–30(–46) × 9–24(–40) mm, segments (9–)12–22(–34), linear-filiform, longest segment (2–)6–19(–29) mm; emersed leaves pectinate, lanceolate to elliptic to ovate in outline, 2–5(–15) ×0.9–2.6 mm, segments (9–)12–20, greater than 0.5 mm. Inflorescences to 25 cm; flowers proximally pistillate, medially bisexual, distally staminate, in whorls of 4; bracteoles cream, ovate, 0.3–0.6(–1) × 0.1–0.6(–1.3) mm, margins deeply dissected into irregular lobes. Staminate flowers: sepals cream, narrowly triangular to deltate, 0.5–0.7(–0.9) × 0.4–0.6(–0.8) mm; petals persistent, cream, sometimes apically suffused with purple, elliptic to obovate, 1.8–2.2(–2.4) ×0.7–1.5 mm; stamens 8, filaments to 2 mm, anthers 0.8–1.7 × 0.3–0.6 mm. Pistillate flowers: sepals greenish to cream, elliptic to triangular, 0.2–0.7 × 0.2–0.7 mm; petals often caducous, sometimes persistent, cream to purple, elliptic to obovate, 0.4–0.7(–0.9) × 0.3–0.5(–0.8) mm; pistils (1.3–)1.8–2.7 mm, stigmas red to± purple, to 0.8 mm. Fruits globose, shallowly 4-lobed. Mericarps olive-green to brown, subglobose to globose, 2–2.7(–3) × (0.9–)1.1–1.3(–1.7) mm, transverselywidely obovate, abaxial surface broadly rounded to moderately flattened, smooth, often with 2 shallow longitudinal ridges, wings and ribs absent. 2n = 28.
Flowering plants of Myriophyllum verticillatum are distinguished from other water-milfoils by reduced, pectinate floral bracts. Many Myriophyllum species can be mistaken for M. verticillatum at early stages of flowering because the proximal floral bracts are transitional in form from submersed leaves and are typically pectinate. The bracteoles also are highly distinctive and are deeply divided into as many as seven narrow lobes. The schizocarps are unique among water-milfoils in the flora area because they have a relatively thick exocarp that typically impedes the splitting and separation of the schizocarp into mericarps at maturity. The most robust and diminutive plants of M. verticillatum can be found in Saskatchewan. No specimens identifiable as M. verticillatum have been seen from New Mexico though it has been reported from there (P. T. Adams 1998). It is likely to occur in New Mexico given that it is found in neighboring states except Oklahoma. The presence and morphology of turions of M. verticillatum can be very helpful in the identification of vegetative material. The clavate to obdeltoid shape and reddish brown color of the turions in this species distinguishes it from the cylindrical, typically dark green turions of M. farwellii and M. sibiricum. 


Four varieties of Myriophyllum verticillatum have been proposed. Fassett based M. verticillatum var. cheneyi solely on the presence of four stamens. M. L. Fernald (1950) considered var. cheneyi conspe­cific with M. hippuroides. Some specimens labeled as var. cheneyi examined during this treatment were confirmed to represent M. hippuroides as noted by S. G. Aiken (1981). Fernald recognized vars. intermedium, pectinatum Wallroth, and pinnatifidum Wallroth based on differences in the length of floral bracts. All of these varieties can be found in the flora area though floral bract length is a very plastic character and there is no distinct separation among the forms. The presence and morphology of turions of M. verticillatum can be very helpful in the identification of vegetative material. The clavate to obdeltoid shape and reddish brown color of the turions in this species differ from the cylindrical, typically dark green turions of both M. farwellii and M. sibiricum."
Myriophyllum verticillatum,"

Plants mostly monoecious, rarely with bisexual flowers. Perennation by clavate turions. Stem robustly branched or unbranched, 50-150 cm; internodes often shorter than leaves. Submerged leaves 4-6-whorled, pectinate, narrowly ovate in outline, 3-5 × 1.5-2.5 cm; segments in 10-20 pairs, filiform, 1-2.5 cm. Inflorescence a terminal spike of 4-whorled flowers, 7-20 cm; bracts pectinate or absent. Male flowers: bracteoles lanceolate-lobed; calyx broadly campanulate, ca. 1 mm, 4-parted nearly 1/2 of way to base; petals white or greenish, obovate, 2-2.5 mm; stamens 8. Female flowers: bracteoles pectinate, 1-5 × as long as flower; calyx tubular, shortly lobed; petals greenish or white, minute. Fruit 4-loculed, subglobose, ca. 3 mm; mericarps smooth or sparsely verrucose along margins. Fl. and fr. Apr-Sep.


In its terrestrial form this species may fully develop as small plants, with few leaf segments, and often set fruit better than the aquatic form."
Myriophyllum verticillatum,"

Submerged perennial. Stem thick, up to 3 m long, simple, rarely branching, glabrous. Rhizome rooting. Leaves 20-35 mm long, pinnatisect, segments 20-35, linear and filiform. Spike 10-30 cm long. Bracts 10-25 mm long, pectinate, the lower most sterile. Flowers sessile, in whorls of (4-) 5, in the axils of bracts, the upper male, the lower female with a few bisexual ones in between. Male flower: calyx tube c. 1 mm long, lobes triangular; petals 4, oblong-ovate, 2.5-3 mm long, greenish-yellow. Stamens 8, filaments slender; anthers c. 2 mm long. Female flower: calyx as in the male; petals lacking. Ovary subglobose, c. 2 mm long, 4-locular; style short, stigmas plumose. Fruit a schizocarp. Seeds elongated, 1.5 mm long, smooth."
Arundo donax,"

Robust reed from a thick knotty rhizome. Culms very stout, erect, 2–6 m tall, 1–1.5 cm in diam., unbranched or with bamboolike clusters of slender branches from nodes. Leaf sheaths longer than internodes, usually glabrous except long pilose at mouth; leaf blades 30–60 × 2–5 cm, margins scabrous, tapering to a slender filiform apex; ligule 0.7–1.5 mm. Panicle 30–60 cm, dense, usually purplish; branches 10–25 cm, ascending. Spikelets 10–15 mm, florets 2–5; glumes narrowly lanceolate, 8–12 mm, 3–5-veined, lower glume acute, upper glume sharply acuminate; lemmas linear-lanceolate, 8–11 mm, 3–7-veined, dorsal hairs 5–6 mm, apex minutely bidentate with 1–2 mm awnlet from sinus, lateral veins also shortly extended; palea 1/2 length of lemma body. Fl. and fr. Oct–Dec.
The culms have many uses, including light construction, basket making, matting, musical pipes, and ornaments."
Arundo donax,"

Perennial, with creeping woody rhizomes. Culms erect, up to 5 m high. Leaf-blades conspicuously distichous, linear-lanceolate, rounded or cordate at the base, 30-60 cm long, 2.5-5 cm wide, glabrous, smooth, long-attenuate at the tip. Panicle 30.60 cm long and 5.8(10) cm wide. Spikelets 10-15 mm long; glumes subequal, lanceolate to narrowly lanceolate, (8-)10-13 mm long, the lower a little shorter than the upper; lemmas lanceolate, (6)8.5-13 mm long, 3-5-nerved, 3 of the nerves produced as short aristae, hairy all over the back below the middle with hairs up to 7 mm long.
Considerable difficulty may be experienced in distinguishing immature plants of Arundo, Neyraudia and Phragmites, and dissecting the spikelets will be of little use. Phragmites can be distinguished by the silky beard at the bases of the lowest panicle branches which is absent from the other two genera. The ligule of Arundo is membranous while that of Phragmites and Neyraudia is a fringe of hairs. The leaves of Arundo are very much broader than in the other genera and are conspicuously cordate or rounded at the base."
Epilobium hirsutum,"A tall perennial herb producing  white fleshy underground stolons in summer. Stems 80-150(-180) cm, erect, almost terete, branching above, ±  densely glandular-pubescent with numerous spreading hairs. Lvs 6-12 x 1.5-3 cm, smaller above and on branches, mostly opposite, oblong-lanceolate, acute, sessile, semi-amplexicaul and slightly decurrent, ±  hairy on both sides and especially on the veins, the margins ciliate and with distinct, unequal, slender incurved teeth. Bracts alternate, resembling upper lvs.  Infl of ± corymbose racemes terminating the main stem and branches. Fls 15-32 mm diam, erect in bud. Sepals 7-9 mm, hooded and shortly apiculate. Petals 12-16 mm, deep purplish-rose, broadly obovate, distinctly but not deeply notched. Outer stamens twice as long as inner. Stigma of 4 revolute lobes exceeding the longest stamens.  Fr a capsule 5-8 cm, downy. Seeds c 1 mm, oblong-ovoid, acute at the base, brownish-red, densely and acutely tubercled. "
Epilobium hirsutum,"Great or great hairy willowherb, codlins and cream, épilobe hirsute  



Herbs usually robust and rank, sometimes woody near base, with thick, ropelike stolons to 1 m with scattered cataphylls and, often, terminal leafy rosette. Stems erect to ascending, often clumped, terete, 25–120(–250) cm, unusually thick, 3–9 mm diam., well branched mainly in distal 1/2, densely long-villous throughout, usually mixed glandular puberulent distally, rarely sparsely villous or densely white-tomentose. Leaves opposite proximal to inflorescence, alternate distally, sessile and ± clasping stem; blade elliptic-lanceolate to narrowly obovate or elliptic, 4–12(–23) × 0.3–4(–5) cm, base cuneate to attenuate, margins serrulate, 15–50 teeth per side, veins 6–9 per side, apex acute to acuminate or obtuse proximally, surfaces ± densely villous; bracts moderately reduced. Inflorescences erect racemes or panicles, usually densely villous and glandular puberulent, rarely tomentose. Flowers erect; buds 5–9 × 1.8–4.5 mm, sometimes beaked; pedicel 3–11 mm; floral tube 1.3–2.9 × 2.2–4 mm, conspicuous ring of spreading hairs near mouth inside; sepals oblong-linear, often keeled, 6–12 × 1–3 mm, abaxial surface densely pubescent; petals bright pink to rose-purple, rarely white, broadly obcordate, 9–20 × 7–15 mm, apical notch 1–3 mm; filaments white or pink, those of longer stamens 5–10 mm, those of shorter ones 2.5–6 mm; anthers cream, 1.5–3 × 0.6–1.2 mm; ovary 15–34 mm, densely villous and glandular puberulent; style white or pink, 5–12 mm, usually glabrous, stigma deeply 4-lobed, 1.8–2.2 × 3–5.5 mm, lobes recurved or spreading, exserted beyond anthers. Capsules often flushed purple, 25–90 mm, surfaces usually densely villous and glandular puberulent, rarely glabrescent; pedicel 5–20 mm. Seeds narrowly obovoid, 0.8–1.2 × 0.3–0.6 mm, chalazal collar inconspicuous, dark brown, surface coarsely papillose; coma easily detached, tawny or dull white, 7–10 mm. 2n = 36.

SELECTED REFERENCE Stuckey, R. L. 1970. Distributional history of Epilobium hirsutum (great hairy willow-herb) in North America. Rhodora 72: 164–181."
